Category,Peptide_name_as_in_paper_or_figure,Project_identifier,Already_in_stapled_amps_csv,StaPep_MD_features_where_to_find,Manual_new_feature_extraction_from_figures_needed,Notes_for_advisor
Paper extraction sheet (45 peptides),Mag2,(no DRAMP row),No,Not in stapled_amps_features (unless added),N/A — not a stapled DRAMP entry,Unstapled parent; same Original_Sequence appears on stapled rows but no dedicated ID
Paper extraction sheet,Mag(i+4)0,DRAMP21504,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)1,DRAMP21505,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)2,DRAMP21506,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)3,DRAMP21507,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)4,DRAMP21508,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)5,DRAMP21509,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)6,DRAMP21510,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)7,DRAMP21511,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)8,DRAMP21512,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)9,DRAMP21513,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)10,DRAMP21514,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)11,DRAMP21515,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)12,DRAMP21516,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)13,DRAMP21517,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)14,DRAMP21518,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15,DRAMP21519,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)16,DRAMP21520,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)17,DRAMP21521,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)18,DRAMP21522,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(G1K),DRAMP21523,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(I2K),DRAMP21524,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(G3K),DRAMP21525,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(F5K),DRAMP21526,Yes,stapled_amps_features.csv,No,Matched by name; confirm Hiden_Sequence vs sheet if needed
Paper extraction sheet,Mag(i+4)15(L6K),DRAMP21527,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(H7K),DRAMP21528,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(S8K),DRAMP21529,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(A9K),DRAMP21530,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(F12K),DRAMP21531,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(G13K),DRAMP21532,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(A15K),DRAMP21533,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(V17K),DRAMP21534,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(G18K),DRAMP21535,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(E19K),DRAMP21536,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(B21K),DRAMP21537,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(N22K),DRAMP21538,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,Mag(i+4)15(S23K),DRAMP21539,Yes,stapled_amps_features.csv,No,
Paper extraction sheet,"Mag(i+4)1,15(A9K)",DRAMP21542,Yes,stapled_amps_features.csv,No,Same construct as in four-species figure
Paper supplement (not in stapled_amps.csv),"Mag(i+4)1,15(K4R, A9K)",PAPER_31427820_MAG1_15_K4R_A9K,"Combined file only (stapled_amps_combined_paper_dataset.csv)","Seq-only in supplement features; MD columns BLANK","YES — run MD via run_amp_md_features.py on supplement CSV","Identity + MIC + cytotoxicity text already populated; only MD still needed"
Paper supplement,"Mag(i+4)1,15(K4R, A9K, K10R)",PAPER_31427820_MAG1_15_K4R_A9K_K10R,Combined only,Seq-only; MD BLANK,YES — MD,
Paper supplement,"Mag(i+4)1,15(K4H, A9K)",PAPER_31427820_MAG1_15_K4H_A9K,Combined only,Seq-only; MD BLANK,YES — MD,
Paper supplement,"Mag(i+4)1,15(K4H, A9K, K10H)",PAPER_31427820_MAG1_15_K4H_A9K_K10H,Combined only,Seq-only; MD BLANK,YES — MD,
Paper supplement,"Mag(i+4)1,15(K4H, A9K, K10H, K11H)",PAPER_31427820_MAG1_15_K4H_A9K_K10H_K11H,Combined only,Seq-only; MD BLANK,YES — MD,
Paper supplement,"Mag(i+4)1,15(A9K, B21A)",PAPER_31427820_MAG1_15_A9K_B21A,Combined only,Seq-only; MD BLANK,YES — MD,
Paper supplement,"Mag(i+4)1,15(A9K, B21A, N22K, S23K)",PAPER_31427820_MAG1_15_A9K_B21A_N22K_S23K,Combined only,Seq-only; MD BLANK,YES — MD,
Figure: four-species table,"Pleu(i+4)1,15(A9K)",DRAMP21540,Yes,stapled_amps_features.csv,No,Lyticity index in paper is not a column in DRAMP; StaPep gives lyticity_index
Figure: four-species table,"CAP(i+4)1,23(L17K)",DRAMP21541,Yes,stapled_amps_features.csv,No,
Figure: four-species table,"Mag(i+4)1,15(A9K)",DRAMP21542,Yes,stapled_amps_features.csv,No,Duplicate label with extraction sheet row
Figure: four-species table,"Esc(i+4)1,14(A7K)",DRAMP21543,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Mag(i+7)1,DRAMP21544,Yes,stapled_amps_features.csv,No,Paper uses 8/X for R8/S5; DRAMP uses Z/X in Sequence column
Figure: Mag(i+7) series,Mag(i+7)2,DRAMP21545,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Mag(i+7)3,DRAMP21546,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Mag(i+7)4,DRAMP21547,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Mag(i+7)5,DRAMP21548,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Mag(i+7)6,DRAMP21549,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Mag(i+7)7,DRAMP21550,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Mag(i+7)8,DRAMP21551,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Mag(i+7)9,DRAMP21552,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Mag(i+7)10,DRAMP21553,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Mag(i+7)11,DRAMP21554,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Mag(i+7)12,DRAMP21555,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Mag(i+7)13,DRAMP21556,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Mag(i+7)14,DRAMP21557,Yes,stapled_amps_features.csv,No,
Figure: Mag(i+7) series,Magainin II (linear parent),(no stapled row),No,Not in stapled_amps_features as its own row,N/A — optional training row only,Same sequence as Original_Sequence on stapled entries; not duplicated as unstapled peptide
