seqIndex,netCharge,FC,LW,DP,NK,AE,pcMK,_SolventAccessibilityD1025,tau2_GRAR740104,tau4_GRAR740104,QSO50_GRAR740104,QSO29_GRAR740104
1,0.0,0.0,0.0,0.0,11.11,0.0,0.5,30.0,10312.375,7613.333333333333,0.0,0.022542
2,0.0,0.0,0.0,0.0,11.11,0.0,0.0,20.0,12356.5,7767.333333333333,0.0,0.046044
3,1.0,0.0,0.0,0.0,11.11,0.0,0.0,10.0,10327.125,8306.0,0.0,0.021938
4,0.0,0.0,0.0,0.0,11.11,0.0,0.0,10.0,12920.625,7711.5,0.0,0.063007
5,0.0,0.0,0.0,0.0,11.11,0.0,0.0,10.0,12872.125,9275.5,0.0,0.001876
6,0.0,0.0,0.0,0.0,11.11,0.0,0.0,20.0,16683.125,5656.0,0.0,0.028007
7,0.0,0.0,0.0,0.0,11.11,0.0,0.0,10.0,17766.125,4240.5,0.0,0.035079
8,0.0,0.0,0.0,0.0,11.11,0.0,0.0,10.0,16881.125,5274.0,0.0,0.016569
9,0.0,0.0,0.0,0.0,11.11,0.0,0.0,30.0,17791.75,3293.8333333333335,0.0,0.038512
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15300.75,7107.166666666667,0.0,0.034428
11,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15461.625,7592.5,0.0,0.02015
12,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12868.125,8716.0,0.0,0.007984
13,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12820.625,8503.5,0.0,0.053989
14,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12432.5,10336.833333333334,0.0,0.001781
15,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11706.5,11717.0,0.0,0.028254
16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10383.5,12746.166666666666,0.0,0.050901
17,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8894.375,12196.833333333334,0.0,0.003588
18,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10055.375,12972.833333333334,0.0,0.021573
19,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10671.5,14812.833333333334,0.0,0.040459
20,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10719.0,11946.0,0.0,0.010209
21,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9719.625,11336.5,0.0,0.061134
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6191.625,7941.833333333333,0.0,0.003738
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6191.625,9475.166666666666,0.0,0.061227
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6783.625,8288.5,0.0,0.006228
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7007.75,7844.333333333333,0.0,0.045084
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5832.125,10236.333333333334,0.0,0.017955
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5282.0,9988.333333333334,0.0,0.013446
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4522.0,9032.5,0.0,0.051053
29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6247.0,6463.166666666667,0.0,0.02639
30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6639.0,5669.666666666667,0.0,0.045452
31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,6984.0,4133.666666666667,0.0,0.053151
32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8310.875,3551.1666666666665,0.0,0.041069
33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9992.875,4936.666666666667,0.0,0.022599
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,11402.5,5423.166666666667,0.0,0.002054
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,13452.625,4955.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15441.125,5125.666666666667,0.0,0.042703
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15533.0,5296.333333333333,0.0,0.024009
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,17521.5,4916.833333333333,0.0,0.032593
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,16843.375,5025.333333333333,0.0,0.024998
